# movement list (max length: 22, possible max lenght: 38)

0x08C38C8C アイドリング
0x08C38CC4 通常歩き１
0x08C38CFC 通常歩き２
0x08C38D34 タカビー歩き
0x08C38D6C リズム歩き
0x08C38DA4 ノリノリ歩き
0x08C38DDC セクシー歩き
0x08C38E14 通常走り１
0x08C38E4C 通常走り２
0x08C38E84 飛行機走り
0x08C38EBC こっちこっち
0x08C38EF4 どうしよう
0x08C38F2C 手を振る（右）
0x08C38F64 手を振る（左）
0x08C38F9C 指揮者
0x08C38FD4 スキップ
0x08C3900C エアクロール
0x08C39044 いけいけゴーゴー
0x08C3907C ステッピングジャンプ
0x08C390B4 ウサ耳ダンス
0x08C390EC 創作ダンス
0x08C39124 創作ダンス反転
0x08C3915C コサックダンス
0x08C39194 屈伸ダンス
0x08C391CC くねくねダンス
0x08C39204 ジャンピングダンス
0x08C3923C タップダンス
0x08C39274 腰振りリズム
0x08C392AC フラダンス
0x08C392E4 ノリノリダンス１
0x08C3931C ノリノリダンス２
0x08C39354 ノリノリダンス３
0x08C3938C モンキーダンス１
0x08C393C4 モンキーダンス２
0x08C393FC モンキーダンス３
0x08C39434 パラパラ１
0x08C3946C パラパラ２
0x08C394A4 パラパラ３
0x08C394DC ワンツーステップ１
0x08C39514 ワンツーステップ２
0x08C3954C ワンツーステップ３
0x08C39584 ワンツーステップ４
0x08C395BC ワンツーステップ５
0x08C395F4 ワンツーステップ６
0x08C3962C ワンツーステップ７
0x08C39664 アイドルステップ１
0x08C3969C アイドルステップ２
0x08C396D4 アイドルステップ３
0x08C3970C 片手あげ反時計回り回転
0x08C39744 両手あげ時計回り回転
0x08C3977C 両手あげ反時計回り回転
0x08C397B4 挨拶１
0x08C397EC 挨拶２
0x08C39824 バラード１
0x08C3985C バラード２
0x08C39894 リズム１
0x08C398CC リズム２
0x08C39904 上半身ループ１
0x08C3993C 上半身ループ２
0x08C39974 上半身ループ３
0x08C399AC ループモーション１
0x08C399E4 ループモーション２
0x08C39A1C マイク持ちモーション１
0x08C39A54 マイク持ちモーション２
0x08C39A8C バレエ１
0x08C39AC4 バレエ２
0x08C39AFC バレエ３
0x08C39B34 ロングダンス１
0x08C39B6C ロングダンス２
0x08C39BA4 ロングダンス３
0x08C39BDC ロングダンス４
0x08C39C14 ロングダンス５
0x08C39C4C ロングダンス６
0x08C39C84 男性アイドル系ダンス１
0x08C39CBC 男性アイドル系ダンス２
0x08C39CF4 男性アイドル系ダンス３
0x08C39D2C 男性アイドル系ダンス４
0x08C39D64 男性アイドル系ダンス５
0x08C39D9C ブレイクダンス１
0x08C39DD4 ブレイクダンス２
0x08C39E0C ブレイクダンス３
0x08C39E44 ブレイクダンス４
0x08C39E7C ブレイクダンス５
0x08C39EB4 ブレイクダンス６
0x08C39EEC ディスコダンス
0x08C39F24 トップスターダンス
0x08C39F5C テクパラ１
0x08C39F94 テクパラ２
0x08C39FCC テクパラ３
0x08C3A004 応援団１
0x08C3A03C 応援団２
0x08C3A074 エクササイズ１
0x08C3A0AC エクササイズ２
0x08C3A0E4 エクササイズ３
0x08C3A11C 正拳突き
0x08C3A154 オリジナルダンス
0x08C3A18C 男性歩き１
0x08C3A1C4 男性歩き２
0x08C3A1FC 男性歩き３
0x08C3A234 マッチョポーズ１
0x08C3A26C マッチョポーズ２
0x08C3A2A4 フラメンコ１
0x08C3A2DC フラメンコ２
0x08C3A314 フラメンコ３
0x08C3A34C フラメンコ４
0x08C3A384 フラメンコ５
0x08C3A3BC フラメンコ６
0x08C3A3F4 阿波踊り１
0x08C3A42C 阿波踊り２
0x08C3A464 盆踊り１
0x08C3A49C 盆踊り２
0x08C3A4D4 コメディダンス
0x08C3A50C ハカ
0x08C3A544 決めポーズ１
0x08C3A57C 決めポーズ２
0x08C3A5B4 決めポーズ３
0x08C3A5EC 決めポーズ４
0x08C3A624 決めポーズ５
0x08C3A65C 演技１
0x08C3A694 演技２
0x08C3A6CC 演技３
0x08C3A704 演技４
0x08C3A73C 演技５
0x08C3A774 棒振り
0x08C3A7AC 棒回し
0x08C3A7E4 マイク持ちモーション３
0x08C3A81C マイク持ちモーション４
0x08C3A854 扇子持ちモーション１
0x08C3A88C 扇子持ちモーション２
0x08C3A8C4 激しく指揮
0x08C3A8FC 袈裟切り
0x08C3A934 横切り
0x08C3A96C 会釈１
0x08C3A9A4 会釈２
0x08C3A9DC 会釈３
0x08C3AA14 会釈４
0x08C3AA4C 会釈５
0x08C3AA84 お辞儀１
0x08C3AABC お辞儀２
0x08C3AAF4 お辞儀３
0x08C3AB2C お辞儀４
0x08C3AB64 お辞儀５
0x08C3AB9C 喜び１
0x08C3ABD4 喜び２
0x08C3AC0C 怒る１
0x08C3AC44 怒る２
0x08C3AC7C 悲しい１
0x08C3ACB4 悲しい２
0x08C3ACEC 楽しい
0x08C3AD24 驚く
0x08C3AD5C 笑う
0x08C3AD94 困る
0x08C3ADCC 電話で会話
0x08C3AE04 プレゼント
0x08C3AE3C 断り
0x08C3AE74 アクション１
0x08C3AEAC アクション２
0x08C3AEE4 アクション３
0x08C3AF1C アイドルダンス１
0x08C3AF54 アイドルダンス２
0x08C3AF8C アイドルダンス３
0x08C3AFC4 否定１
0x08C3AFFC 否定２
0x08C3B034 否定３
0x08C3B06C 押される(縦)
0x08C3B0A4 押される(横)
0x08C3B0DC 歌いながら動く
0x08C3B114 待ち合わせ１
0x08C3B14C 待ち合わせ２
0x08C3B184 待ち合わせ３
0x08C3B1BC 腰をかける１
0x08C3B1F4 腰をかける２
0x08C3B22C 腰をかける３
0x08C3B264 腰をかける４
0x08C3B29C 腰をかける５
0x08C3B2D4 腰をかける６
0x08C3B30C ロボットダンス１
0x08C3B344 ロボットダンス２
0x08C3B37C ロボットダンス３
0x08C3B3B4 オクラホマミキサー（右）
0x08C3B3EC オクラホマミキサー（左）
0x08C3B424 グルグルダンス１（前）
0x08C3B45C グルグルダンス１（後）
0x08C3B494 グルグルダンス２（前）
0x08C3B4CC グルグルダンス２（後）
0x08C3B504 大仰な挨拶１（女性）
0x08C3B53C 大仰な挨拶２（女性）
0x08C3B574 大仰な挨拶３（女性）
0x08C3B5AC 大仰な挨拶１（男性）
0x08C3B5E4 大仰な挨拶２（男性）
0x08C3B61C 大仰な挨拶３（男性）
0x08C3B654 地面に座る
0x08C3B68C 舞台上で挨拶(右)
0x08C3B6C4 舞台上で挨拶(左)

# Background list (max length: 24, possible max lenght: 40)

0x08C3C0A4 自然ステージ
0x08C3C0D8 教室
0x08C3C10C 教会
0x08C3C140 ハイウェイ
0x08C3C174 ハイウェイ2
0x08C3C1A8 夕陽の土手
0x08C3C1DC プールサイド
0x08C3C210 学園屋上
0x08C3C244 昼間の土手
0x08C3C278 近未来町中
0x08C3C2AC 浜辺
0x08C3C2E0 ライブステージ
0x08C3C314 ライブ会場
0x08C3C348 ストリート舞台
0x08C3C37C 鍵盤ステージ
0x08C3C3B0 草原
0x08C3C3E4 花畑
0x08C3C418 砂漠
0x08C3C44C 平地
